date,customer_id,product_id,order_value
2024-12-05,C100157,P1006,1917.89
2025-03-05,C100672,P1011,158.78
2025-06-06,C100270,P1011,611.27
2025-05-30,C100255,P1007,460.22
2025-02-25,C100358,P1003,945.83
2025-06-16,C101054,P1009,2179.7
2024-10-31,C100358,P1011,1056.1
2025-04-14,C101019,P1006,1252.0
2025-03-01,C100425,P1003,681.58
2025-07-26,C100185,P1007,300.05
2025-03-29,C101120,P1009,364.3
2024-12-30,C100713,P1005,981.17
2024-12-06,C100620,P1012,1351.79
2025-06-15,C100459,P1001,2148.81
2025-03-16,C100762,P1006,752.16
2025-10-02,C100697,P1011,1958.18
2025-09-06,C100538,P1010,461.36
2025-04-04,C100131,P1009,1265.0
2025-08-02,C100700,P1006,493.85
2025-05-07,C100118,P1005,846.94
2025-03-17,C100281,P1007,1633.6
2025-09-26,C100170,P1011,991.21
2024-12-13,C100985,P1008,1080.31
2025-05-05,C100237,P1006,2354.42
2024-12-06,C100513,P1002,2012.89
2025-09-25,C101174,P1010,701.14
2025-01-27,C100972,P1002,605.44
2025-01-14,C100317,P1002,1450.31
2025-02-07,C100468,P1012,825.68
2024-11-08,C100931,P1002,709.07
2025-08-21,C100981,P1006,1725.61
2025-05-03,C100849,P1012,1096.37
2025-04-02,C100919,P1008,280.75
2025-06-23,C100173,P1006,349.55
2025-01-31,C100226,P1012,1685.0
2024-11-27,C101092,P1002,1940.55
2025-03-31,C100432,P1011,441.92
2025-05-21,C101158,P1007,2170.93
2025-02-24,C100764,P1005,396.75
2025-01-18,C101072,P1008,772.36
2025-03-04,C100708,P1006,1737.57
2024-11-20,C100989,P1003,222.19
2025-08-19,C100253,P1008,897.32
2025-04-13,C100272,P1005,1920.11
2025-02-04,C100574,P1005,2494.69
2025-07-26,C100008,P1012,1408.64
2025-05-12,C100248,P1005,167.28
2024-11-09,C100637,P1001,1969.94
2024-11-04,C100745,P1003,2214.1
2025-01-14,C101038,P1007,815.88
2025-04-29,C100274,P1007,569.23
2025-04-03,C100236,P1011,177.05
2025-04-30,C100295,P1005,519.95
2025-07-13,C100243,P1005,2137.53
2024-12-02,C100818,P1006,1779.76
2025-08-24,C101009,P1004,959.2
2025-03-07,C100149,P1002,2108.2
2025-07-04,C100756,P1004,639.78
2025-06-12,C100249,P1001,182.31
2025-08-13,C100255,P1003,1295.4
2025-08-28,C100587,P1008,2342.39
2025-03-06,C100577,P1006,735.41
2025-04-16,C101149,P1007,1801.88
2025-09-09,C100245,P1007,1760.95
2025-01-15,C100829,P1005,940.93
2025-06-15,C100648,P1008,1081.63
2025-05-23,C100101,P1010,2014.0
2024-11-14,C100956,P1007,215.84
2025-05-03,C100888,P1005,192.33
2024-11-07,C100880,P1002,1478.8
2025-04-30,C100357,P1004,1035.02
2025-07-21,C100347,P1002,2392.82
2025-02-11,C100788,P1003,1704.81
2025-07-04,C100857,P1006,2121.15
2025-02-02,C101198,P1012,1519.26
2024-10-16,C100480,P1009,1299.67
2024-12-02,C100338,P1008,159.63
2025-04-03,C100171,P1008,535.67
2025-02-04,C100895,P1005,1498.71
2025-04-03,C100897,P1003,688.02
2024-12-02,C100891,P1008,1796.3
2025-09-17,C100579,P1009,1258.38
2025-10-07,C100065,P1010,1641.99
2025-04-30,C100229,P1007,1744.37
2025-08-21,C100551,P1007,302.34
2025-03-08,C100387,P1002,929.01
2025-06-22,C100399,P1010,1065.36
2025-01-05,C100706,P1012,1803.55
2025-02-05,C100183,P1006,1773.86
2025-07-27,C100840,P1003,2024.77
2025-06-14,C100705,P1008,2432.56
2025-07-27,C100590,P1003,2390.25
2025-04-18,C100152,P1001,1306.73
2025-04-18,C100413,P1004,697.72
2025-01-08,C100718,P1010,1093.73
2025-04-20,C100460,P1004,929.03
2025-05-16,C101094,P1008,1796.39
2025-08-06,C100234,P1011,1772.58
2025-05-01,C100370,P1003,1100.6
2025-06-14,C100766,P1007,1653.24
2024-11-07,C100378,P1009,1322.93
2025-07-17,C100543,P1002,1106.71
2025-02-21,C100483,P1011,1497.96
2025-10-04,C100447,P1011,2325.03
2025-04-21,C100916,P1012,411.39
2025-04-26,C100843,P1005,1866.93
2025-04-01,C100396,P1001,641.71
2025-07-10,C100694,P1002,994.58
2025-03-13,C100122,P1011,894.13
2025-02-03,C100419,P1004,1335.49
2024-12-14,C100149,P1010,1254.74
2025-09-08,C100039,P1011,1633.54
2025-07-24,C101053,P1001,1658.42
2024-12-26,C101155,P1010,2374.5
2025-03-22,C100730,P1005,2293.28
2024-11-04,C100955,P1001,1760.78
2025-02-28,C100416,P1012,2409.97
2025-02-16,C100832,P1009,431.17
2024-12-08,C100228,P1011,733.1
2025-04-28,C100703,P1003,2061.66
2025-03-18,C100291,P1012,2250.39
2025-04-16,C100596,P1008,648.36
2024-10-16,C100779,P1010,478.88
2024-11-26,C100096,P1012,737.61
2025-08-16,C100401,P1008,932.12
2025-09-25,C100700,P1002,1983.59
2025-08-26,C100678,P1001,1092.68
2025-03-12,C100251,P1004,591.96
2024-11-13,C100989,P1001,332.13
